filename,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
EmilyOster_2007._121.wav,43.42051,0.1401695,34.61567,45.85217,48.03232,13.41665,24.07656,1.363573,128.9401,0.0,0.54087,1.12355,0.1657625,0.2013369,0.8735915,0.7078291,13.3399,6.233237,11.20026,7.638622,0.2854179,1.817314,14.51019,0.5967486,-11.51971,-1.349946,-3.056013,-2.906522,-5.051464,-2.286474,0.03516891,0.8214327,1.094673,0.8801493,7.079441,0.6345849,2.305741,2.273607,14.06727,0.7303231,864.9472,0.1459864,1311.762,0.1209005,-167.3172,-0.4349193,1703.886,0.07703272,1129.023,0.08555686,-163.7738,-0.452348,2647.112,0.04687219,986.6568,0.3522731,-166.1094,-0.4170422,-1.904653,-2.461159,16.77282,0.4040791,0.0656722,0.391997,0.01286857,0.9348534,1.150756,0.542802,18.07586,0.6008794,-32.94237,-0.5838534,-10.48443,-1.186024,-23.21597,-0.5364007,-2.658692,10.58045,0.01868005,0.005554075,0.08351249,1.792115,1.459854,0.12,0.04358899,0.434,0.7289335,-22.92184,1.0
EleniGabreMadhin_2007G._64.wav,37.89333,0.101482,34.4476,37.37669,40.66895,6.221344,46.35983,23.74169,114.2064,174.0278,0.8470648,0.488416,0.4274582,0.8332306,1.210358,0.7829001,11.15765,6.357626,8.502856,4.743819,0.3025447,0.8114724,4.629216,3.380023,0.08476803,146.2665,-4.177838,-3.434554,-8.545981,-1.537296,0.02379686,0.996061,1.121987,0.8632802,7.956169,0.4634667,6.120722,1.677028,15.13655,0.7858448,761.6679,0.2432887,1405.784,0.1976413,-120.6738,-0.7492515,1660.373,0.1292686,1181.705,0.3106621,-115.8538,-0.7597713,2563.957,0.06787105,979.1255,0.292883,-116.9629,-0.7406104,-7.963312,-0.9032089,17.84591,0.5488515,0.05374654,0.4616732,-0.01340069,-1.034863,0.4018598,0.6136099,14.8717,0.7337458,-0.7709062,-18.62489,-2.24365,-7.945508,-14.4182,-1.037094,3.359012,4.863903,0.01866558,0.005634558,0.2142112,4.864359,2.634054,0.1653571,0.1470783,0.2011111,0.2608438,-23.82283,1.0
EmmanuelJal_2009G._87.wav,25.07546,0.09666043,22.86893,24.73662,27.72671,4.857784,226.2445,248.3928,17.08787,4.779498,0.2521626,1.019282,0.0490691,0.162164,0.4196005,0.3705314,3.00654,1.372595,3.030772,2.425239,0.05821817,1.645448,10.00857,1.239901,5.33287,1.988626,4.080228,3.548637,2.117074,4.685902,0.02968646,0.9471823,1.438111,0.9083251,4.744402,0.5946683,5.827664,0.7467386,19.6065,0.2479203,553.4422,0.2774706,1510.231,0.166748,-133.1859,-0.6742523,1524.426,0.1114611,1085.816,0.2473337,-136.3391,-0.6289048,2448.639,0.05472144,926.798,0.2655245,-137.1757,-0.6166292,-10.96479,-0.3927518,17.787,0.2439923,0.03797075,0.3797027,-0.01285548,-0.9219497,0.1279368,1.050532,21.6587,0.4168634,8.771736,1.424562,11.66974,1.639072,1.232565,10.54022,-2.260525,9.331733,0.02486161,0.01295687,0.02312804,1.432665,2.034884,0.16,0.1092834,0.3114285,0.457366,-33.36086,1.0
AdamSadowsky_2010X._62.wav,26.27032,0.1003647,23.89691,25.94434,29.07549,5.178587,48.11054,39.34658,4.314214,6.730163,0.6572545,0.4202727,0.3649812,0.6264897,0.9319803,0.5669991,8.44677,3.112114,7.800991,4.14209,0.2447568,0.5752685,24.2346,0.6546983,-4.473829,-2.636475,5.681892,2.025184,-4.956952,-2.241547,0.02719632,0.8410974,1.273908,0.781424,4.497085,0.5367332,0.3367706,19.91545,19.35235,0.4390591,564.8698,0.3487154,1490.288,0.1220342,-100.4569,-0.941914,1464.935,0.1217688,1200.695,0.2633596,-102.0473,-0.9028487,2448.616,0.07709017,843.2352,0.2834087,-106.8023,-0.8190517,-11.2208,-0.5222747,23.52814,0.3074235,0.05411787,0.4399047,-0.009211828,-1.44965,0.3132825,0.4292511,34.12492,0.249337,-4.862877,-2.604544,4.9252,2.385162,-3.618019,-3.343058,-4.443673,12.88659,0.05445146,-0.002534517,0.1733048,5.012531,3.045686,0.1575,0.1209769,0.1491667,0.1139779,-26.17889,1.0
AdoraSvitak_2010._21.wav,37.62572,0.09289445,34.84469,36.88494,40.22744,5.382751,50.222,73.6739,23.04912,15.12548,0.9403741,0.5759146,0.4439232,0.8814385,1.38909,0.9451672,11.43939,8.994512,8.949718,5.090249,0.4243848,0.8533716,21.5791,0.6704667,-4.868759,-3.620105,-1.470313,-11.82354,-8.087006,-2.138602,0.01711794,1.095137,0.8813316,1.072763,9.447595,0.408526,6.727652,1.342592,22.37278,0.5641149,662.2958,0.2670801,1438.109,0.1407997,-101.6332,-0.9344971,1597.256,0.1488704,1124.214,0.1601751,-98.89092,-0.911783,2498.433,0.08540269,1070.164,0.2902604,-103.1371,-0.8362429,-10.2741,-0.8200246,22.54096,0.4377327,0.05452456,0.4030084,-0.01614851,-1.061614,0.5378214,0.628862,27.647,0.4449614,-7.812053,-2.510785,-6.546888,-2.916605,-16.60254,-0.945222,-4.404109,12.71303,0.01060088,-0.00262907,0.2972645,4.846527,2.117264,0.2476923,0.2351482,0.1892857,0.2074149,-20.36139,1.0
BillGross_2003._72.wav,31.81179,0.07986999,30.16312,31.50232,33.56268,3.399567,157.3965,190.0771,76.54278,170.4576,1.1018,0.4461763,0.6063464,1.0896,1.547436,0.9410895,15.0114,6.702601,11.58593,6.139312,0.5995772,0.6268583,16.70238,0.9234154,16.41492,0.7034122,8.204914,2.015193,-6.543179,-2.640587,0.02834616,1.676169,1.076926,0.87598,7.432613,0.3512255,4.08695,2.254324,27.63668,0.3048075,583.0641,0.2726566,1431.377,0.1413365,-87.8255,-1.044555,1556.794,0.1340694,1053.896,0.2466599,-94.35277,-0.8940759,2550.214,0.08380675,963.3927,0.3180136,-98.76344,-0.8168035,-15.81178,-0.4018295,25.38795,0.3166712,0.04183166,0.6163683,-0.02697762,-0.5701838,0.7006616,0.5303386,24.32792,0.3960465,17.85885,0.5577589,7.236949,2.57834,-9.901917,-1.960027,-5.686627,13.11318,0.006576683,-0.007232036,0.4592238,5.509909,3.003876,0.1862903,0.1603648,0.1346552,0.1405803,-17.87978,1.0
AlexisOhanian_2009I._37.wav,27.70368,0.1552011,23.8589,27.08167,31.51627,7.657375,139.3911,171.4479,60.63388,62.55874,0.5461739,0.6176838,0.2146876,0.5045807,0.826974,0.6122864,9.426147,5.234747,7.49883,4.410212,0.2093376,0.7632174,15.52479,1.017193,2.911376,4.375499,14.65991,1.053531,5.514096,2.877552,0.04104397,0.9986395,1.515382,0.7510592,4.86266,0.5565573,7.779785,1.015417,19.14336,0.4806258,693.4121,0.3305157,1417.902,0.1906267,-105.042,-0.8464561,1613.341,0.1444256,1179.149,0.3120046,-105.7914,-0.8154626,2530.522,0.07464627,1022.322,0.4133441,-107.5509,-0.7850906,-10.52917,-0.733316,19.73388,0.406802,0.03226245,0.6716294,-0.007022849,-2.921561,0.2667845,0.5854247,23.65841,0.4251242,4.579185,2.748671,14.49687,1.170618,4.86127,3.810837,-1.248888,9.395673,0.02964834,0.01171579,0.1489101,4.858685,3.595291,0.1339823,0.114076,0.1316981,0.1321268,-27.20432,2.0
DorisKearnsGoodwin_2008._10.wav,33.28933,0.1122998,30.75309,32.18658,35.02045,4.267361,174.9711,136.5957,23.72563,13.20328,0.8126855,0.6812125,0.2607756,0.7021149,1.333226,1.07245,13.99709,8.579779,10.18752,6.089804,0.4018139,0.9071538,23.11539,0.6020105,7.30812,1.859285,9.520523,1.392329,-3.097905,-4.154675,0.02870745,1.037967,1.289641,1.15191,8.074917,0.3830673,3.525145,2.734445,21.98485,0.4348828,680.9513,0.1777346,1337.23,0.1337831,-105.0058,-0.8618562,1685.79,0.1159487,972.9528,0.2644072,-109.7242,-0.7749524,2644.528,0.06333398,895.2699,0.196386,-111.7563,-0.7426404,-15.43911,-0.4411119,22.30099,0.360401,0.04964268,0.3667156,-0.03254554,-0.4321,0.6245301,0.5790712,29.76824,0.3511267,4.735767,3.287907,13.78413,0.9589376,-9.074433,-1.489855,-9.613368,17.20182,0.02440032,-0.007675203,0.1776831,4.173623,3.204047,0.1489474,0.101975,0.1505556,0.1833779,-19.77723,1.0
BillGates_2009._174.wav,28.62232,0.07080739,27.59315,27.98615,29.63127,2.038124,324.0616,195.7986,18.086,12.7581,0.6404847,0.8986643,0.243825,0.4241775,0.873013,0.6291881,11.89223,9.198541,4.011094,3.592577,0.2933519,1.077562,27.70964,0.5326375,6.065257,2.359189,12.67917,0.8416398,12.23639,0.8326853,0.03810276,1.380803,1.008904,1.312269,7.293846,0.3328867,9.089632,0.6964703,27.42758,0.3492114,527.4905,0.3312343,1420.095,0.09087756,-112.9046,-0.8203392,1429.184,0.1337757,1107.687,0.1892003,-117.4859,-0.7340873,2367.811,0.07312552,827.8779,0.3796948,-120.062,-0.6957859,-17.92845,-0.3876064,26.10822,0.2888025,0.01697468,1.291493,-0.01517685,-1.034096,0.4212517,0.9391021,38.25519,0.1815056,4.184392,3.445754,14.65282,0.668523,15.34655,0.6176075,-11.53097,20.92323,-0.007317157,0.00631905,0.1640474,2.684564,3.496504,0.122,0.08009993,0.1825,0.1847126,-20.82358,1.0
JenniferLin_2004._41.wav,32.89863,0.08499645,30.77886,32.45543,34.5507,3.771837,72.52413,97.71593,27.1746,31.09095,0.3657566,0.6803119,0.1276813,0.3222682,0.5703052,0.4426239,6.381434,3.697351,5.136614,3.429959,0.09296188,0.9484428,22.4152,0.6589761,0.4311008,37.59645,13.09431,1.291185,-9.864768,-1.595144,0.02227852,1.230576,1.01569,0.9616787,8.167023,0.3845953,4.487381,1.701543,20.32003,0.3162621,654.2515,0.2072504,1391.969,0.1324638,-83.94212,-1.093141,1647.371,0.1181513,1032.393,0.27107,-89.91782,-0.9570177,2576.363,0.06055702,943.3571,0.2452084,-91.75655,-0.9186413,-11.65907,-0.5683786,19.19084,0.3580739,0.05683158,0.3526285,-0.01669442,-0.8400617,0.1260903,0.7229076,29.24564,0.3714614,-2.544454,-6.219178,17.54196,0.9756678,-15.26113,-0.9881158,-6.520596,13.22475,0.02004079,9.913628e-05,0.04247139,3.982081,2.596106,0.2226923,0.150296,0.1506122,0.2060256,-31.66358,0.0
